2024-	11-	13-	13:	11:	52,Nt:8,Nr:8,mu:4,samples:32
2024-	11-	13-	13:	12:	12,Nt:8,Nr:8,mu:4,samples:32
2025-	1-	20-	17:	4:	49,Nt:8,Nr:8,mu:4,samples:32
2025-	1-	21-	21:	27:	57,Nt:8,Nr:8,mu:4,samples:32
2025-	1-	21-	21:	28:	55,Nt:8,Nr:8,mu:4,samples:32
2025-	1-	22-	11:	31:	25,Nt:8,Nr:8,mu:4,samples:32
2025-	1-	22-	11:	32:	31,Nt:8,Nr:8,mu:4,samples:32
2025-	1-	22-	16:	57:	31,Nt:8,Nr:8,mu:4,samples:32
2025-	1-	22-	16:	58:	28,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	8-	19:	36:	0,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	8-	19:	36:	15,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	8-	19:	36:	38,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	8-	19:	38:	49,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	8-	19:	39:	36,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	8-	19:	44:	45,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	8-	19:	52:	25,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	8-	20:	9:	4,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	8-	21:	6:	40,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	8-	21:	28:	37,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	8-	22:	17:	36,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	10:	40:	2,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	10:	46:	41,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	10:	47:	12,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	10:	47:	28,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	11:	4:	42,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	11:	11:	32,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	12:	55:	5,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	12:	56:	22,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	13:	11:	24,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	14:	6:	43,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	14:	8:	18,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	14:	10:	29,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	14:	11:	9,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	14:	11:	27,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	14:	13:	19,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	14:	18:	30,Nt:8,Nr:8,mu:4,samples:32
